vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,32,837,44.767229,11.123243,3.655574,-173.47
1,211,843,44.744385,11.816203,1.322907,-171.02
2,391,850,44.716986,12.508507,2.410806,-117.71
3,570,858,44.685040,13.200039,3.264873,-112.51
4,748,868,44.648555,13.890682,3.202685,-116.05
5,927,878,44.607542,14.580319,0.251764,135.55
6,39,709,45.259591,11.152480,3.301013,-150.09
7,221,715,45.236517,11.851905,6.671853,-135.49
8,402,722,45.208842,12.550657,6.414757,-142.04
9,582,731,45.176574,13.248614,2.021826,-115.77
10,763,740,45.139723,13.945657,7.945329,-165.20
11,943,751,45.098298,14.641667,7.290869,-170.12
12,47,582,45.752281,11.182268,0.901949,-20.17
13,230,588,45.728973,11.888281,4.905191,-154.97
14,413,595,45.701019,12.593601,6.466768,-137.56
15,595,603,45.668426,13.298104,9.599290,-158.36
16,777,613,45.631204,14.001667,13.391680,-158.17
17,959,624,45.589362,14.704167,2.362149,161.00
18,55,454,46.245263,11.212625,1.187620,91.79
19,240,460,46.221720,11.925350,0.660283,-33.94
20,424,468,46.193484,12.637363,0.345909,-115.96
21,608,476,46.160561,13.348535,6.495437,-154.96
22,792,486,46.122963,14.058739,6.142988,-163.33
23,976,497,46.080699,14.767850,6.244731,155.25
24,63,326,46.738506,11.243565,2.097323,-169.55
25,249,333,46.714724,11.963132,1.935039,130.24
26,436,340,46.686201,12.681965,1.074694,-16.17
27,621,349,46.652946,13.399932,1.810694,-163.31
28,807,358,46.614967,14.116905,1.593463,177.42
29,992,369,46.572277,14.832752,5.175308,124.52
30,71,199,47.231974,11.275108,1.746838,57.73
31,259,205,47.207951,12.001647,2.270562,157.05
32,447,212,47.179138,12.727432,2.270741,70.40
33,635,221,47.145545,13.452326,1.125534,25.19
34,822,231,47.107182,14.176196,0.529672,131.45
35,1010,242,47.064059,14.898907,1.369432,61.09
36,80,71,47.725632,11.307269,0.717679,-115.47
37,270,77,47.701364,12.040918,1.703222,75.76
38,459,85,47.672259,12.773790,1.397471,73.14
39,649,93,47.638324,13.505744,1.612147,46.81
40,838,103,47.599571,14.236644,2.147018,-48.18
41,1027,115,47.556010,14.966352,3.637038,149.44
