vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,24.945568,-42.62
1,695,2050,44.933424,12.038940,27.059381,-43.57
2,1159,2069,44.904544,12.733587,27.940420,-42.79
3,1623,2092,44.871102,13.427417,28.423954,-41.85
4,2087,2117,44.833106,14.120313,31.674463,-41.34
5,2550,2146,44.790567,14.812158,33.791180,-38.41
6,251,1705,45.450165,11.375006,24.090977,-47.73
7,720,1721,45.425611,12.076860,27.177528,-49.50
8,1189,1740,45.396441,12.777996,28.353285,-49.00
9,1657,1763,45.362662,13.478293,30.808641,-47.71
10,2125,1789,45.324284,14.177628,31.203878,-44.89
11,2592,1817,45.281318,14.875883,32.735104,-42.28
12,272,1375,45.942910,11.407013,23.077824,-46.79
13,746,1392,45.918109,12.115498,27.668070,-49.89
14,1219,1411,45.888644,12.823245,32.550285,-51.31
15,1692,1434,45.854524,13.530129,31.768805,-52.13
16,2164,1460,45.815759,14.236024,32.501785,-47.35
17,2636,1489,45.772360,14.940807,31.614971,-46.03
18,294,1045,46.435935,11.439632,25.101370,-47.43
19,772,1062,46.410882,12.154875,29.906281,-50.41
20,1250,1082,46.381119,12.869359,30.540537,-50.11
21,1727,1105,46.346655,13.582954,31.530092,-48.80
22,2204,1131,46.307498,14.295531,32.195480,-45.11
23,316,715,46.929205,11.472881,27.102903,-50.78
24,799,732,46.903898,12.195012,30.244867,-53.14
25,1282,752,46.873833,12.916361,31.277615,-50.69
26,1763,776,46.839020,13.636795,30.697109,-48.40
27,2245,802,46.799467,14.356183,26.742695,-44.22
28,339,385,47.422685,11.506779,27.712494,-52.81
29,827,402,47.397121,12.235931,30.521286,-55.19
30,1314,423,47.366751,12.964278,31.059490,-50.86
31,1800,446,47.331584,13.691683,29.247931,-48.14
32,2286,473,47.291630,14.418012,19.977757,-46.06
33,362,55,47.916342,11.541345,27.744780,-56.17
34,854,72,47.890517,12.277655,32.583893,-57.97
35,1346,93,47.859838,13.013137,31.527609,-54.55
36,1838,117,47.824313,13.747649,23.867414,-51.04
37,2328,144,47.783953,14.481052,12.589931,-45.28
