vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,109,1117,44.744385,11.816203,11.335823,-12.51
1,346,1127,44.716986,12.508507,10.771006,-31.22
2,583,1137,44.685040,13.200039,12.585027,-28.29
3,820,1150,44.648555,13.890682,12.515553,-1.72
4,121,948,45.236517,11.851905,12.416636,-15.70
5,361,958,45.208842,12.550657,13.211625,-18.99
6,600,969,45.176574,13.248614,13.352728,-21.43
7,839,981,45.139723,13.945657,15.155693,-21.25
8,133,779,45.728973,11.888281,13.590537,-18.05
9,375,789,45.701019,12.593601,13.153629,-18.25
10,617,800,45.668426,13.298104,13.350631,-15.62
11,859,813,45.631204,14.001667,14.517928,-17.37
12,146,610,46.221720,11.925350,14.553339,-13.64
13,390,620,46.193484,12.637363,13.835677,-17.79
14,634,631,46.160561,13.348535,13.555525,-17.37
15,878,644,46.122963,14.058739,13.154315,-24.16
16,159,441,46.714724,11.963132,15.744653,-16.33
17,406,451,46.686201,12.681965,12.884995,-12.96
18,652,462,46.652946,13.399932,13.974224,-16.75
19,898,475,46.614967,14.116905,14.519496,-26.86
20,172,272,47.207951,12.001647,16.042450,-5.03
21,421,282,47.179138,12.727432,14.806347,-11.25
22,670,293,47.145545,13.452326,15.679508,-15.71
23,918,306,47.107182,14.176196,17.203608,-23.79
24,186,102,47.701364,12.040918,17.553667,-6.97
25,437,112,47.672259,12.773790,18.579231,-7.82
26,688,124,47.638324,13.505744,18.636927,-15.63
27,939,137,47.599571,14.236644,18.104616,-22.11
