Frame 40, cell 61 moved from (x: 127.25974966470189, y:247.26416141068498 ) to (x: 88.56323999580813, y:210.23762522378223 )
Frame 40, cell 62 moved from (x: 313.8808172489811, y:412.34079502472355 ) to (x: 391.9475244312346, y:377.7156099847839 )
Frame 41, cell 61 moved from (x: 88.56323999580813, y:210.23762522378223 ) to (x: 89.22463270065067, y:212.93463596215017 )
Frame 41, cell 62 moved from (x: 391.9475244312346, y:377.7156099847839 ) to (x: 378.45610068443074, y:354.55526045873216 )
Frame 42, cell 63 moved from (x: 595.8514520432789, y:315.71365022643494 ) to (x: 530.7398290242828, y:298.79306477878646 )
Frame 42, cell 62 moved from (x: 378.45610068443074, y:354.55526045873216 ) to (x: 446.9442500096987, y:322.4120684854111 )
Frame 42, cell 64 moved from (x: 335.54812628132095, y:551.8240254749616 ) to (x: 407.4672337451752, y:505.4431440262053 )
Frame 43, cell 65 moved from (x: 643.6385103413883, y:282.8191242658968 ) to (x: 629.8491665974801, y:268.01002928911737 )
Frame 43, cell 62 moved from (x: 446.9442500096987, y:322.4120684854111 ) to (x: 542.1926602854447, y:282.4880222268082 )
Frame 43, cell 64 moved from (x: 407.4672337451752, y:505.4431440262053 ) to (x: 438.23046845626976, y:473.1166550518938 )
Frame 43, cell 66 moved from (x: 457.301312434172, y:576.6222463073444 ) to (x: 562.7317341313536, y:554.6871933570823 )
Frame 44, cell 64 moved from (x: 438.23046845626976, y:473.1166550518938 ) to (x: 475.2900712976982, y:434.38858509521896 )
Frame 44, cell 66 moved from (x: 562.7317341313536, y:554.6871933570823 ) to (x: 628.9201918050234, y:546.312725640558 )
Frame 45, cell 64 moved from (x: 475.2900712976982, y:434.38858509521896 ) to (x: 441.6028886007946, y:452.82646447865153 )
Frame 47, cell 66 moved from (x: 584.0415155374136, y:563.2840766696355 ) to (x: 614.0436786915853, y:556.4878043555314 )
Frame 48, cell 66 moved from (x: 614.0436786915853, y:556.4878043555314 ) to (x: 616.0296411585965, y:569.0571993748073 )
Frame 48, cell 72 moved from (x: 370.5516315005482, y:568.5321971135627 ) to (x: 398.4637841517298, y:539.2125681320096 )
Frame 49, cell 72 moved from (x: 398.4637841517298, y:539.2125681320096 ) to (x: 509.2289428017727, y:477.597316104296 )
Frame 49, cell 66 moved from (x: 616.0296411585965, y:569.0571993748073 ) to (x: 636.7825518053788, y:541.9193577964305 )
Frame 50, cell 73 moved from (x: 537.0490373775704, y:566.2838941073647 ) to (x: 612.8705551027156, y:533.2932873312719 )
Frame 52, cell 74 moved from (x: 210.8317062183256, y:84.58168657393617 ) to (x: 255.14329252777566, y:35.28760314914757 )
Frame 54, cell 75 moved from (x: 357.8161758429184, y:397.98695979540645 ) to (x: 345.55708001946107, y:404.23458678828155 )
Frame 55, cell 77 moved from (x: 55.31256345946023, y:55.48431956265697 ) to (x: 14.60243954396364, y:88.63061008545397 )
Frame 55, cell 78 moved from (x: 31.23047901725958, y:255.32702208586056 ) to (x: 18.026028347326672, y:348.8591457025608 )
Frame 56, cell 78 moved from (x: 18.026028347326672, y:348.8591457025608 ) to (x: 36.045879231519216, y:368.2542374229073 )
Frame 57, cell 78 moved from (x: 36.045879231519216, y:368.2542374229073 ) to (x: 77.82767064529443, y:379.91480281928125 )
Frame 58, cell 81 moved from (x: 38.55009484857561, y:48.66092333946873 ) to (x: 44.88240793896901, y:114.82624499225238 )
Frame 58, cell 78 moved from (x: 77.82767064529443, y:379.91480281928125 ) to (x: 105.60038256774685, y:395.00851731661936 )
Frame 59, cell 78 moved from (x: 105.60038256774685, y:395.00851731661936 ) to (x: 119.11237833173016, y:367.2892037729265 )
Frame 60, cell 85 moved from (x: 121.88835975642027, y:62.346494914368314 ) to (x: 157.3898567519511, y:68.08997913573793 )
Frame 60, cell 78 moved from (x: 119.11237833173016, y:367.2892037729265 ) to (x: 126.0635115973402, y:367.65327858023386 )
Frame 60, cell 86 moved from (x: 393.9797872616616, y:289.04973176170733 ) to (x: 383.9951464405392, y:288.68029363896085 )
Frame 61, cell 87 moved from (x: 593.327839124426, y:12.194143580727347 ) to (x: 633.8106530487963, y:12.777905810804034 )
Frame 61, cell 78 moved from (x: 126.0635115973402, y:367.65327858023386 ) to (x: 145.7195082596417, y:348.14076743433935 )
Frame 61, cell 86 moved from (x: 383.9951464405392, y:288.68029363896085 ) to (x: 392.8918629128862, y:293.7277540309883 )
Frame 62, cell 84 moved from (x: 112.77191195513005, y:91.78356483456014 ) to (x: 123.90674172086952, y:58.50572109083014 )
Frame 62, cell 78 moved from (x: 145.7195082596417, y:348.14076743433935 ) to (x: 245.36205555923675, y:362.07965754040424 )
Frame 62, cell 89 moved from (x: 72.28358034283436, y:574.61502317645 ) to (x: 45.527292513743156, y:509.0052387089536 )
Frame 63, cell 85 moved from (x: 204.85063267602476, y:80.5724422956888 ) to (x: 167.8861997645329, y:75.66761775011348 )
Frame 64, cell 85 moved from (x: 167.8861997645329, y:75.66761775011348 ) to (x: 171.28171664036208, y:102.8198332737888 )
Frame 65, cell 93 moved from (x: 295.5412634212941, y:326.6671981410269 ) to (x: 362.7909186323388, y:375.04683580936415 )
Frame 65, cell 94 moved from (x: 604.8496033799682, y:226.32599965500452 ) to (x: 625.353238733732, y:322.1610877549975 )
Frame 66, cell 97 moved from (x: 18.397666269621823, y:25.56885758012454 ) to (x: 34.429996606983835, y:67.6499040563756 )
Frame 66, cell 98 moved from (x: 129.62568284367842, y:13.537784977978738 ) to (x: 150.70051340695602, y:21.707150937835433 )
Frame 66, cell 99 moved from (x: 270.9539627602942, y:82.54983041646439 ) to (x: 249.7525703379999, y:93.09223830182226 )
Frame 67, cell 97 moved from (x: 34.429996606983835, y:67.6499040563756 ) to (x: 62.08158876524413, y:106.49661335577854 )
Frame 67, cell 98 moved from (x: 150.70051340695602, y:21.707150937835433 ) to (x: 135.53106739689247, y:11.086728757411874 )
Frame 67, cell 101 moved from (x: 615.089068059066, y:287.289325406257 ) to (x: 637.3365257199681, y:230.9422388147934 )
Frame 67, cell 95 moved from (x: 556.704224865313, y:503.15991712942025 ) to (x: 565.8907346602025, y:518.5166665105038 )
Frame 67, cell 103 moved from (x: 309.6542070211117, y:565.1637268458109 ) to (x: 364.7053783166069, y:537.3817160878498 )
Frame 68, cell 104 moved from (x: 68.13163523644614, y:8.081196331815224 ) to (x: 9.621956284854281, y:22.842755670404117 )
Frame 68, cell 97 moved from (x: 62.08158876524413, y:106.49661335577854 ) to (x: 66.59918651661921, y:134.50207990626805 )
Frame 68, cell 95 moved from (x: 565.8907346602025, y:518.5166665105038 ) to (x: 505.59863053986663, y:518.0688092004303 )
Frame 69, cell 97 moved from (x: 66.59918651661921, y:134.50207990626805 ) to (x: 101.70378428441302, y:102.02582084202146 )
Frame 69, cell 105 moved from (x: 423.10654061983706, y:334.29643070377693 ) to (x: 415.92054027438945, y:327.1563130052508 )
Frame 70, cell 97 moved from (x: 101.70378428441302, y:102.02582084202146 ) to (x: 120.90603265857892, y:107.68911536129224 )
Frame 70, cell 110 moved from (x: 182.3685085821174, y:208.00406087888487 ) to (x: 143.63982725893118, y:209.0469590355001 )
Frame 70, cell 105 moved from (x: 415.92054027438945, y:327.1563130052508 ) to (x: 428.441500711539, y:285.88816675508104 )
Frame 70, cell 111 moved from (x: 556.9688761624351, y:491.8043528307552 ) to (x: 620.4541874939564, y:489.03927316232176 )
Frame 71, cell 97 moved from (x: 120.90603265857892, y:107.68911536129224 ) to (x: 130.7219230557876, y:124.83464157386214 )
Frame 71, cell 105 moved from (x: 428.441500711539, y:285.88816675508104 ) to (x: 475.2983619597317, y:219.25583505582853 )
Frame 72, cell 97 moved from (x: 130.7219230557876, y:124.83464157386214 ) to (x: 162.38113247315897, y:126.62522549189654 )
Frame 72, cell 115 moved from (x: 620.5294493673258, y:230.81522107915873 ) to (x: 655.8311483838193, y:112.0452579546579 )
Frame 72, cell 105 moved from (x: 475.2983619597317, y:219.25583505582853 ) to (x: 532.1029534965554, y:139.22392783799435 )
Frame 72, cell 116 moved from (x: 512.1208182188329, y:548.2947975982257 ) to (x: 612.9577879212596, y:513.9684543315539 )
Frame 73, cell 116 moved from (x: 612.9577879212596, y:513.9684543315539 ) to (x: 635.2612889092501, y:457.1892434543864 )
