vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,48.638187,-0.30
1,695,2050,44.933424,12.038940,47.107231,1.22
2,1159,2069,44.904544,12.733587,48.040260,1.06
3,1623,2092,44.871102,13.427417,48.967621,0.03
4,2087,2117,44.833106,14.120313,50.444420,-2.42
5,2550,2146,44.790567,14.812158,49.497822,-4.79
6,251,1705,45.450165,11.375006,50.321186,0.72
7,720,1721,45.425611,12.076860,49.189613,1.96
8,1189,1740,45.396441,12.777996,50.301281,3.53
9,1657,1763,45.362662,13.478293,50.924580,1.94
10,2125,1789,45.324284,14.177628,49.441238,-2.07
11,2592,1817,45.281318,14.875883,49.720821,-3.51
12,272,1375,45.942910,11.407013,50.207794,-0.50
13,746,1392,45.918109,12.115498,49.551983,-0.91
14,1219,1411,45.888644,12.823245,49.437618,0.41
15,1692,1434,45.854524,13.530129,49.798092,0.75
16,2164,1460,45.815759,14.236024,48.516235,-1.53
17,2636,1489,45.772360,14.940807,49.155743,-2.57
18,294,1045,46.435935,11.439632,48.416859,0.06
19,772,1062,46.410882,12.154875,47.493404,1.29
20,1250,1082,46.381119,12.869359,46.404499,1.87
21,1727,1105,46.346655,13.582954,48.105762,1.61
22,2204,1131,46.307498,14.295531,47.224590,1.61
23,316,715,46.929205,11.472881,45.583557,0.62
24,799,732,46.903898,12.195012,44.480530,1.98
25,1282,752,46.873833,12.916361,43.526066,2.36
26,1763,776,46.839020,13.636795,43.486755,3.47
27,2245,802,46.799467,14.356183,44.468437,3.24
28,339,385,47.422685,11.506779,44.074665,-1.05
29,827,402,47.397121,12.235931,41.840130,-0.47
30,1314,423,47.366751,12.964278,40.829334,1.28
31,1800,446,47.331584,13.691683,41.165333,3.96
32,2286,473,47.291630,14.418012,41.884102,3.38
33,362,55,47.916342,11.541345,41.503635,-5.84
34,854,72,47.890517,12.277655,40.255390,-2.61
35,1346,93,47.859838,13.013137,39.750591,-0.96
36,1838,117,47.824313,13.747649,38.247677,1.68
37,2328,144,47.783953,14.481052,37.114735,1.48
