vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,14.638186,81.97
1,695,2050,44.933424,12.038940,17.545149,80.28
2,1159,2069,44.904544,12.733587,24.025417,72.74
3,1623,2092,44.871102,13.427417,29.472033,72.37
4,2087,2117,44.833106,14.120313,29.748930,72.31
5,2550,2146,44.790567,14.812158,27.535961,73.63
6,251,1705,45.450165,11.375006,17.069590,76.73
7,720,1721,45.425611,12.076860,17.018524,76.63
8,1189,1740,45.396441,12.777996,22.118263,67.65
9,1657,1763,45.362662,13.478293,26.647284,64.05
10,2125,1789,45.324284,14.177628,26.553047,68.95
11,2592,1817,45.281318,14.875883,27.944046,64.82
12,272,1375,45.942910,11.407013,16.147240,69.71
13,746,1392,45.918109,12.115498,15.404537,82.87
14,1219,1411,45.888644,12.823245,18.130207,75.78
15,1692,1434,45.854524,13.530129,22.962120,66.82
16,2164,1460,45.815759,14.236024,27.218321,62.57
17,2636,1489,45.772360,14.940807,29.369131,62.27
18,294,1045,46.435935,11.439632,15.022922,70.76
19,772,1062,46.410882,12.154875,13.908538,81.62
20,1250,1082,46.381119,12.869359,14.648115,83.40
21,1727,1105,46.346655,13.582954,19.032124,76.88
22,2204,1131,46.307498,14.295531,24.140556,70.43
23,316,715,46.929205,11.472881,12.221419,80.82
24,799,732,46.903898,12.195012,11.200446,65.94
25,1282,752,46.873833,12.916361,14.105491,80.95
26,1763,776,46.839020,13.636795,15.274839,70.63
27,2245,802,46.799467,14.356183,21.707087,76.82
28,339,385,47.422685,11.506779,12.828574,89.83
29,827,402,47.397121,12.235931,11.799598,82.46
30,1314,423,47.366751,12.964278,12.777578,88.29
31,1800,446,47.331584,13.691683,14.589612,83.46
32,2286,473,47.291630,14.418012,19.205404,78.05
33,362,55,47.916342,11.541345,15.314728,81.46
34,854,72,47.890517,12.277655,16.332699,90.33
35,1346,93,47.859838,13.013137,17.493311,84.23
36,1838,117,47.824313,13.747649,20.916925,88.59
37,2328,144,47.783953,14.481052,22.050819,88.16
