% date(2019,11,14),

forecasted_sky(sappada_forni_villa, "mostly_clear"),
forecasted_sky(pontebba_tarvisio, "partly_cloudy"),
forecasted_sky(lignano_grado, "partly_cloudy"),
forecasted_sky(barcis, "partly_cloudy"),
forecasted_sky(udine_palamnova, "partly_cloudy"),
forecasted_sky(gorizia, "partly_cloudy"),
forecasted_sky(trieste, "partly_cloudy"),
forecasted_sky(gemona_stolvizza, "partly_cloudy"),
forecasted_sky(pordenone, "partly_cloudy")
