vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,230,2034,44.957733,11.343595,14.989764,22.17
1,695,2050,44.933424,12.038940,12.094775,11.72
2,1159,2069,44.904544,12.733587,13.491013,0.02
3,1623,2092,44.871102,13.427417,10.726329,-12.61
4,2087,2117,44.833106,14.120313,10.254714,-3.17
5,2550,2146,44.790567,14.812158,10.500669,18.77
6,251,1705,45.450165,11.375006,13.271548,26.17
7,720,1721,45.425611,12.076860,12.377145,20.54
8,1189,1740,45.396441,12.777996,13.336809,1.71
9,1657,1763,45.362662,13.478293,8.865190,-4.09
10,2125,1789,45.324284,14.177628,9.869870,6.65
11,2592,1817,45.281318,14.875883,10.282144,13.20
12,272,1375,45.942910,11.407013,13.582641,36.44
13,746,1392,45.918109,12.115498,13.780835,23.44
14,1219,1411,45.888644,12.823245,14.064842,4.66
15,1692,1434,45.854524,13.530129,8.362238,0.32
16,2164,1460,45.815759,14.236024,8.535459,12.33
17,2636,1489,45.772360,14.940807,7.273315,5.56
18,294,1045,46.435935,11.439632,13.437658,41.10
19,772,1062,46.410882,12.154875,14.059542,28.19
20,1250,1082,46.381119,12.869359,11.014807,11.03
21,1727,1105,46.346655,13.582954,9.483447,0.41
22,2204,1131,46.307498,14.295531,8.598989,22.02
23,316,715,46.929205,11.472881,13.568731,36.36
24,799,732,46.903898,12.195012,12.723912,24.11
25,1282,752,46.873833,12.916361,12.454805,18.70
26,1763,776,46.839020,13.636795,10.477118,12.83
27,2245,802,46.799467,14.356183,9.738617,15.82
28,339,385,47.422685,11.506779,13.775864,39.65
29,827,402,47.397121,12.235931,12.349906,35.49
30,1314,423,47.366751,12.964278,10.234686,23.09
31,1800,446,47.331584,13.691683,11.498734,34.23
32,2286,473,47.291630,14.418012,9.609506,24.41
33,362,55,47.916342,11.541345,14.496174,40.67
34,854,72,47.890517,12.277655,14.548726,32.44
35,1346,93,47.859838,13.013137,13.515966,32.25
36,1838,117,47.824313,13.747649,12.807908,40.06
37,2328,144,47.783953,14.481052,12.216713,33.06
