cell,feature,cell_parent_track_id,feature_parent_cell_id,feature_parent_track_id,track_child_cell_count,cell_child_feature_count,cell_starts_with_split,cell_ends_with_merge
58,296,51,58,51,1,19,False,False
58,302,51,58,51,1,19,False,False
58,310,51,58,51,1,19,False,False
58,319,51,58,51,1,19,False,False
58,326,51,58,51,1,19,False,False
58,336,51,58,51,1,19,False,False
58,346,51,58,51,1,19,False,False
58,356,51,58,51,1,19,False,False
58,366,51,58,51,1,19,False,False
58,374,51,58,51,1,19,False,False
58,380,51,58,51,1,19,False,False
58,403,51,58,51,1,19,False,False
58,407,51,58,51,1,19,False,False
58,414,51,58,51,1,19,False,False
58,419,51,58,51,1,19,False,False
58,428,51,58,51,1,19,False,False
58,436,51,58,51,1,19,False,False
58,448,51,58,51,1,19,False,False
58,457,51,58,51,1,19,False,False
