Frame 40, cell 43 moved from (x: 57.24241341402384, y:554.6278377474928 ) to (x: 91.24045202653829, y:426.42818201160145 )
Frame 42, cell 42 moved from (x: 174.41841519279814, y:187.0520994249361 ) to (x: 179.12814453827585, y:181.5123401956328 )
Frame 42, cell 47 moved from (x: 155.23209885475381, y:404.06701236432696 ) to (x: 224.29582269054313, y:417.50439467817927 )
Frame 42, cell 49 moved from (x: 653.5123637256742, y:560.3015604047625 ) to (x: 644.3647971719597, y:516.4408029888292 )
Frame 43, cell 42 moved from (x: 179.12814453827585, y:181.5123401956328 ) to (x: 165.36537928965905, y:207.85063682325247 )
Frame 43, cell 50 moved from (x: 60.81629657642705, y:226.6091861181974 ) to (x: 63.03176222607957, y:228.30100046539422 )
Frame 43, cell 47 moved from (x: 224.29582269054313, y:417.50439467817927 ) to (x: 349.20683732890535, y:392.8828863432802 )
Frame 43, cell 49 moved from (x: 644.3647971719597, y:516.4408029888292 ) to (x: 657.7685466443551, y:516.2065281177686 )
Frame 44, cell 42 moved from (x: 165.36537928965905, y:207.85063682325247 ) to (x: 149.28472544040326, y:284.26889990352527 )
Frame 44, cell 47 moved from (x: 349.20683732890535, y:392.8828863432802 ) to (x: 424.6676779792436, y:289.39972333477925 )
Frame 44, cell 49 moved from (x: 657.7685466443551, y:516.2065281177686 ) to (x: 639.696025905413, y:466.58936973095746 )
Frame 44, cell 52 moved from (x: 335.62925418571274, y:568.474650551422 ) to (x: 484.55646223574666, y:548.3838537347527 )
Frame 45, cell 42 moved from (x: 149.28472544040326, y:284.26889990352527 ) to (x: 132.34146514619184, y:264.0047294060648 )
Frame 45, cell 52 moved from (x: 484.55646223574666, y:548.3838537347527 ) to (x: 658.847623418558, y:513.0170738149976 )
Frame 46, cell 42 moved from (x: 132.34146514619184, y:264.0047294060648 ) to (x: 142.41201134809538, y:262.44856255839846 )
Frame 47, cell 42 moved from (x: 142.41201134809538, y:262.44856255839846 ) to (x: 176.90481767082503, y:242.05079105236138 )
Frame 47, cell 57 moved from (x: 469.8158180032188, y:421.0662976713496 ) to (x: 508.866350994918, y:424.8707627446994 )
Frame 48, cell 42 moved from (x: 176.90481767082503, y:242.05079105236138 ) to (x: 154.90715774202437, y:194.94664029604172 )
Frame 48, cell 55 moved from (x: 366.1032707712157, y:191.6441856011694 ) to (x: 414.12643034854665, y:264.883042250645 )
Frame 48, cell 57 moved from (x: 508.866350994918, y:424.8707627446994 ) to (x: 521.452769039878, y:431.1852668610767 )
Frame 49, cell 42 moved from (x: 154.90715774202437, y:194.94664029604172 ) to (x: 131.419812047473, y:188.58751707943557 )
Frame 49, cell 57 moved from (x: 521.452769039878, y:431.1852668610767 ) to (x: 490.70900704830024, y:464.9576209736176 )
Frame 49, cell 61 moved from (x: 49.9583353963237, y:293.49103017370726 ) to (x: 73.39628364570365, y:308.0037108558607 )
Frame 50, cell 42 moved from (x: 131.419812047473, y:188.58751707943557 ) to (x: 143.7938427307993, y:181.36958430843427 )
Frame 50, cell 63 moved from (x: 383.7316099379924, y:212.78955105723765 ) to (x: 344.4386629181224, y:189.4925116194385 )
Frame 50, cell 65 moved from (x: 633.7036530380922, y:335.29490276481164 ) to (x: 546.5760980930589, y:426.08868923756205 )
Frame 50, cell 61 moved from (x: 73.39628364570365, y:308.0037108558607 ) to (x: 122.06980112540023, y:261.14954129743234 )
Frame 50, cell 66 moved from (x: 658.1121442109874, y:519.0542717650251 ) to (x: 655.2827529416493, y:564.3085446201784 )
Frame 51, cell 65 moved from (x: 546.5760980930589, y:426.08868923756205 ) to (x: 524.8673030375678, y:458.83372378582493 )
Frame 52, cell 64 moved from (x: 234.40078003348884, y:230.5300429881372 ) to (x: 225.96803691862783, y:241.29192341561642 )
Frame 52, cell 68 moved from (x: 570.7714661960982, y:280.10482497558064 ) to (x: 621.0140411502437, y:250.0733537038548 )
Frame 52, cell 65 moved from (x: 524.8673030375678, y:458.83372378582493 ) to (x: 563.521014184288, y:435.90069848296815 )
Frame 53, cell 64 moved from (x: 225.96803691862783, y:241.29192341561642 ) to (x: 176.49292878835536, y:213.46948718489884 )
Frame 53, cell 65 moved from (x: 563.521014184288, y:435.90069848296815 ) to (x: 595.3195195871873, y:370.3811847132419 )
Frame 54, cell 64 moved from (x: 176.49292878835536, y:213.46948718489884 ) to (x: 183.30841849617454, y:240.42793179759727 )
Frame 55, cell 64 moved from (x: 183.30841849617454, y:240.42793179759727 ) to (x: 272.38266212895735, y:240.15875331194022 )
Frame 56, cell 64 moved from (x: 272.38266212895735, y:240.15875331194022 ) to (x: 341.7138012789796, y:196.16805658178077 )
Frame 57, cell 64 moved from (x: 341.7138012789796, y:196.16805658178077 ) to (x: 361.8468187324239, y:205.19983018447297 )
Frame 57, cell 73 moved from (x: 141.52097286196104, y:309.8253429191353 ) to (x: 120.16297097804888, y:286.5578252383338 )
Frame 58, cell 64 moved from (x: 361.8468187324239, y:205.19983018447297 ) to (x: 373.26410071485657, y:192.72328496095082 )
Frame 58, cell 73 moved from (x: 120.16297097804888, y:286.5578252383338 ) to (x: 36.137694516447375, y:212.36143989451722 )
Frame 60, cell 80 moved from (x: 43.50037845591512, y:211.31606384498903 ) to (x: 59.061432733466354, y:229.40727098649802 )
Frame 60, cell 81 moved from (x: 14.417381872815314, y:258.9689649236664 ) to (x: 14.918992207572758, y:262.382069226545 )
Frame 60, cell 82 moved from (x: 106.0856626774031, y:351.1892646975853 ) to (x: 122.03807344272417, y:309.1456986427978 )
Frame 60, cell 84 moved from (x: 57.64620450077722, y:562.1171894161961 ) to (x: 70.85863673435605, y:489.68649826518913 )
Frame 61, cell 73 moved from (x: 24.6981834598276, y:190.01911027897344 ) to (x: 40.35100851781908, y:211.89464117991216 )
Frame 61, cell 80 moved from (x: 59.061432733466354, y:229.40727098649802 ) to (x: 80.44737666222633, y:312.09777598518855 )
Frame 61, cell 86 moved from (x: 571.0237762287388, y:277.27494837779614 ) to (x: 535.8682460647171, y:273.49806968900515 )
Frame 61, cell 82 moved from (x: 122.03807344272417, y:309.1456986427978 ) to (x: 156.3350987958534, y:272.521217352149 )
Frame 61, cell 84 moved from (x: 70.85863673435605, y:489.68649826518913 ) to (x: 140.18174222641844, y:421.7462484395256 )
Frame 62, cell 84 moved from (x: 140.18174222641844, y:421.7462484395256 ) to (x: 249.5744822703055, y:413.5930597903747 )
Frame 62, cell 92 moved from (x: 80.22633981262737, y:503.2518914024207 ) to (x: 135.98106672767483, y:511.8940600182829 )
Frame 63, cell 93 moved from (x: 515.5396375439389, y:126.4436371128964 ) to (x: 650.7508730147705, y:145.70296965556625 )
